LfNr,Nachname,Vorname,Geschlecht,PLZ,Ort,Strasse,Hausnummer
1,Wüst,Christel,W,24409,Stoltebüll,Hohenzollernstraße,79
2,Eisele,Nikolai,M,39615,Altmärkische Wische,Königsberger Straße,65
3,Großmann,Martha,W,27729,Axstedt,Agathastraße,53
4,Sauer,Elisabeth,W,33129,Delbrück,Frankenstraße,150
5,Buchmann,Heiner,M,7819,Geroda,Zum Katzbach,16
6,Knauer,Almuth,W,67823,Obermoschel,Weidmühlenstraße,82
7,Scherer,Joel,M,23714,Kirchnüchel,Breitenbend,96
8,Gabriel,Alicia,W,80939,München,Keplerstraße,144
9,Loos,Patricia,W,67591,Offstein,Antoniusstraße,106
10,Biermann,Patricia,W,79597,Schallbach,Marie-Juchacz-Straße,187
11,Schütze,Gabi,W,1561,Thiendorf,Breitenbend,102
12,Müller,Steffi,W,99198,Ollendorf,Neumann-Neander-Straße,49
13,Wendel,Maren,W,83410,Laufen,Möschengasse,71
14,Heidrich,Patricia,W,87549,Rettenberg,Arnoldsweilerweg,27
15,Pilz,Erhard,M,25832,Tönning,Arnoldsweilerweg,165
16,David,Carola,W,10829,Berlin,Poliusstraße,120
17,Weiß,Dorothea,W,8223,Grünbach,Meroder Straße,126
18,Börner,Bastian,M,54441,Ayl,Kirchstraße,171
19,Philipp,Ellen,W,67808,Schönborn,Moselstraße,109
20,Schweizer,Anita,W,21444,Vierhöfen,Damaschkestraße,102
21,Schmid,Frauke,W,9122,Chemnitz,Kaiserplatz,161
22,Augustin,Marion,W,54306,Kordel,Ludwigstraße,62
23,Simon,Wolfgang,M,55271,Stadecken-Elsheim,Pestalozzistraße,111
24,Pütz,Diana,W,55743,Idar-Oberstein,Merianstraße,172
25,Adam,Hakan,M,4129,Leipzig,Nikolaus-Ehlen-Straße,185
26,Sperling,Nick,M,56170,Bendorf,Kufferather Platz,132
27,Sander,Benedikt,M,56479,Elsoff (Westerwald),Krahkopfstraße,90
28,Harms,Gerda,W,56237,Alsbach,Hardtstraße,143
29,Brand,Jens,M,66129,Saarbrücken,Stegerwaldstraße,122
30,Berthold,Regina,W,2829,Schöpstal,Am Rosssteig,170
31,Jonas,Margit,W,56843,Burg (Mosel),Tulpenstraße,116
32,Lauer,Dagmar,W,53783,Eitorf,Liststraße,37
33,Janke,Tom,M,49453,Barver,Tulpenstraße,47
34,Wehner,Andreas,M,55457,Gensingen,Annakirmesplatz,108
35,Franke,Steffi,W,23845,Oering,Am Hagedorn,161
36,Metz,Anton,M,64859,Eppertshausen,Pützgesbenden,26
37,Thiemann,Marie,W,81477,München,Schwalbenweg,71
38,Haack,Thorsten,M,85129,Oberdolling,Wechselsaat,100
39,Wimmer,Ruth,W,27367,Sottrum,Zum Mühlengraben,159
40,Seiler,Dörte,W,40212,Düsseldorf,Rotdornweg,185
41,Scholz,Isabel,W,17209,Altenhof,Dahlienstraße,44
42,Baumgartner,Yvonne,W,95469,Speichersdorf,Blochfeld,108
43,Unger,Michelle,W,95032,Hof,Lindenbergskamp,98
44,Reinke,Swetlana,W,37339,Gernrode,Schwalbenweg,151
45,Vogl,Gabriele,W,99718,Topfstedt,Keplerstraße,173
46,Hornung,Bärbel,W,55234,Bechenheim,Frohnhofstraße,127
47,Westermann,Ibrahim,M,87733,Markt Rettenbach,Zum Pastorsweiher,162
48,Freund,Annett,W,66484,Großsteinhausen,Ursulinenstraße,61
49,Sieber,Sabrina,W,66802,Überherrn,Franz-Offergeld-Straße,134
50,Opitz,Jennifer,W,94256,Drachselsried,Montessoriweg,115
51,Pietsch,Hermann,M,15868,Jamlitz,Mirweilerweg,84
52,Welsch,Darius,M,96052,Bamberg,Sievernicher Straße,20
53,Wulff,Carmen,W,77876,Kappelrodeck,Buchheider Weg,150
54,Herbst,Denise,W,52159,Roetgen,Rotterdamer Straße,154
55,Thiel,Leo,M,37627,Deensen,Gertrudisstraße,90
56,Hamann,Tatjana,W,27419,Vierden,Alte Jülicher Straße,175
57,Bühler,Ronald,M,49626,Berge,Heinrich-Gossen-Straße,18
58,Starke,Maximilian,M,65936,Frankfurt am Main,Heerweg,161
59,Brenner,Friederike,W,27245,Kirchdorf,Dr.-Christian-Seybold-Straße,187
60,Wetzel,Henrike,W,88518,Herbertingen,Engengraben,61
61,Bertram,Jörg,M,66802,Überherrn,Bismarckstraße,176
62,Friese,Marion,W,97456,Dittelbrunn,Pfarrer-Hecker-Straße,130
63,Dreher,Gabriela,W,46238,Bottrop,Erlenstraße,127
64,Berthold,Ursula,W,15326,Lebus,Lütticher Straße,60
65,Kolbe,Jakob,M,54619,Leidenborn,Papiermühle,138
66,Reuter,Hannes,M,55239,Gau-Odernheim,Paradiesbenden,59
67,Renner,Andre,M,99994,Schlotheim,Johanniterstraße,162
68,Geisler,Martin,M,21258,Heidenau,Fasanenweg,148
69,Lutz,Regina,W,78315,Radolfzell,Arndtstraße,52
70,Schütt,Kim,M,25980,Sylt,Erkensgasse,25
71,Engler,Johanna,W,84513,Erharting,Bongard,187
72,Nickel,Alena,W,79258,Hartheim am Rhein,Nikolaus-Ehlen-Straße,151
73,Schmidtke,Gabi,W,85375,Neufahrn bei Freising,Alexanderstraße,110
74,Eckardt,Margarethe,W,25725,Bornholt,Auweg,194
75,Wetzel,Maike,W,38116,Braunschweig,Goethestraße,60
76,Sachse,Reinhard,M,76139,Karlsruhe,Lendersdorfer Straße,158
77,Hauck,Juri,M,74670,Forchtenberg,Stephanstraße,108
78,Fritsche,Lea,W,24808,Jevenstedt,Forsthaus Weyern,74
79,Bartels,Enrico,M,48157,Münster,Waidfeld,129
80,Weiler,Philipp,M,55481,Reckershausen,Viandener Straße,86
81,Thies,Nikolas,M,90587,Tuchenbach,Trierer Straße,60
82,Bormann,Louis,M,76833,Siebeldingen,Hubert-Gasper-Straße,162
83,Nguyen,Maria,W,72770,Reutlingen,Hans-Böckler-Straße,158
84,Seemann,Nadine,W,66128,Saarbrücken,Quirinusstraße,137
85,Heide,Isabella,W,94269,Rinchnach,Isolaplatz,96
